Hora,"Península, Baleares y Canarias",Ceuta y Melilla
00h,"0,28238 €/kWh","0,28238 €/kWh"
01h,"0,2696 €/kWh","0,2696 €/kWh"
02h,"0,2625 €/kWh","0,2625 €/kWh"
03h,"0,25963 €/kWh","0,25963 €/kWh"
04h,"0,2578 €/kWh","0,2578 €/kWh"
05h,"0,26115 €/kWh","0,26115 €/kWh"
06h,"0,26802 €/kWh","0,26802 €/kWh"
07h,"0,30871 €/kWh","0,34338 €/kWh"
08h,"0,34338 €/kWh","0,34338 €/kWh"
09h,"0,3189 €/kWh","0,3189 €/kWh"
10h,"0,30556 €/kWh","0,29282 €/kWh"
11h,"0,28506 €/kWh","0,28506 €/kWh"
12h,"0,26664 €/kWh","0,26664 €/kWh"
13h,"0,26151 €/kWh","0,26151 €/kWh"
14h,"0,25833 €/kWh","0,27096 €/kWh"
15h,"0,25653 €/kWh","0,25653 €/kWh"
16h,"0,27282 €/kWh","0,27282 €/kWh"
17h,"0,30059 €/kWh","0,30059 €/kWh"
18h,"0,33639 €/kWh","0,32354 €/kWh"
19h,"0,34893 €/kWh","0,34893 €/kWh"
20h,"0,36804 €/kWh","0,36804 €/kWh"
21h,"0,35323 €/kWh","0,35323 €/kWh"
22h,"0,33458 €/kWh","0,34776 €/kWh"
23h,"0,30252 €/kWh","0,30252 €/kWh"
